arm	ncbi_key	meta_jobs	endpoint	cap_rps	n_requests	wall_s	mean_rps	peak_rps_1s	over_cap	host	stamp
limiter	nokey	1	ena	8.0	96	46.252	2.108	3	0	Node-FIU	2026-07-21T08:00:10
limiter	nokey	1	gsa	5.0	96	46.252	2.137	4	0	Node-FIU	2026-07-21T08:00:10
limiter	nokey	1	ncbi	3.0	96	46.252	2.118	3	0	Node-FIU	2026-07-21T08:00:10
limiter	nokey	3	ena	8.0	96	31.803	3.138	5	0	Node-FIU	2026-07-21T08:00:41
limiter	nokey	3	gsa	5.0	96	31.803	3.115	4	0	Node-FIU	2026-07-21T08:00:41
limiter	nokey	3	ncbi	3.0	96	31.803	3.028	3	0	Node-FIU	2026-07-21T08:00:41
limiter	nokey	8	ena	8.0	96	31.803	3.397	8	0	Node-FIU	2026-07-21T08:01:13
limiter	nokey	8	gsa	5.0	96	31.803	3.321	5	0	Node-FIU	2026-07-21T08:01:13
limiter	nokey	8	ncbi	3.0	96	31.803	3.028	3	0	Node-FIU	2026-07-21T08:01:13
limiter	nokey	16	ena	8.0	96	31.803	3.905	8	0	Node-FIU	2026-07-21T08:01:45
limiter	nokey	16	gsa	5.0	96	31.803	3.804	5	0	Node-FIU	2026-07-21T08:01:45
limiter	nokey	16	ncbi	3.0	96	31.803	3.028	3	0	Node-FIU	2026-07-21T08:01:45
naive	nokey	1	ena	8.0	96	14.429	6.771	8	0	Node-FIU	2026-07-21T08:01:59
naive	nokey	1	gsa	5.0	96	14.429	6.868	8	1	Node-FIU	2026-07-21T08:01:59
naive	nokey	1	ncbi	3.0	96	14.429	6.844	8	1	Node-FIU	2026-07-21T08:01:59
naive	nokey	3	ena	8.0	96	4.912	20.378	22	1	Node-FIU	2026-07-21T08:02:04
naive	nokey	3	gsa	5.0	96	4.912	20.166	20	1	Node-FIU	2026-07-21T08:02:04
naive	nokey	3	ncbi	3.0	96	4.912	20.821	22	1	Node-FIU	2026-07-21T08:02:04
naive	nokey	8	ena	8.0	96	1.906	56.338	56	1	Node-FIU	2026-07-21T08:02:06
naive	nokey	8	gsa	5.0	96	1.906	51.757	54	1	Node-FIU	2026-07-21T08:02:06
naive	nokey	8	ncbi	3.0	96	1.906	56.304	56	1	Node-FIU	2026-07-21T08:02:06
naive	nokey	16	ena	8.0	96	1.053	119.543	96	1	Node-FIU	2026-07-21T08:02:07
naive	nokey	16	gsa	5.0	96	1.053	95.876	95	1	Node-FIU	2026-07-21T08:02:07
naive	nokey	16	ncbi	3.0	96	1.053	112.582	96	1	Node-FIU	2026-07-21T08:02:07
limiter	key	1	ena	8.0	96	29.439	3.341	4	0	Node-FIU	2026-07-21T08:02:37
limiter	key	1	gsa	5.0	96	29.439	3.332	4	0	Node-FIU	2026-07-21T08:02:37
limiter	key	1	ncbi	10.0	96	29.439	3.367	4	0	Node-FIU	2026-07-21T08:02:37
limiter	key	3	ena	8.0	96	19.373	5.364	8	0	Node-FIU	2026-07-21T08:02:56
limiter	key	3	gsa	5.0	96	19.373	5.047	5	0	Node-FIU	2026-07-21T08:02:56
limiter	key	3	ncbi	10.0	96	19.373	5.433	8	0	Node-FIU	2026-07-21T08:02:56
limiter	key	8	ena	8.0	96	19.074	6.489	8	0	Node-FIU	2026-07-21T08:03:15
limiter	key	8	gsa	5.0	96	19.074	5.047	5	0	Node-FIU	2026-07-21T08:03:15
limiter	key	8	ncbi	10.0	96	19.074	6.590	8	0	Node-FIU	2026-07-21T08:03:15
limiter	key	16	ena	8.0	96	19.075	8.073	8	0	Node-FIU	2026-07-21T08:03:34
limiter	key	16	gsa	5.0	96	19.075	5.047	5	0	Node-FIU	2026-07-21T08:03:34
limiter	key	16	ncbi	10.0	96	19.075	8.124	8	0	Node-FIU	2026-07-21T08:03:34
naive	key	1	ena	8.0	96	14.434	6.768	8	0	Node-FIU	2026-07-21T08:03:49
naive	key	1	gsa	5.0	96	14.434	6.866	8	1	Node-FIU	2026-07-21T08:03:49
naive	key	1	ncbi	10.0	96	14.434	6.841	8	0	Node-FIU	2026-07-21T08:03:49
naive	key	3	ena	8.0	96	4.911	20.381	22	1	Node-FIU	2026-07-21T08:03:54
naive	key	3	gsa	5.0	96	4.911	20.168	20	1	Node-FIU	2026-07-21T08:03:54
naive	key	3	ncbi	10.0	96	4.911	20.825	22	1	Node-FIU	2026-07-21T08:03:54
naive	key	8	ena	8.0	96	1.906	56.328	56	1	Node-FIU	2026-07-21T08:03:56
naive	key	8	gsa	5.0	96	1.906	51.774	54	1	Node-FIU	2026-07-21T08:03:56
naive	key	8	ncbi	10.0	96	1.906	56.319	56	1	Node-FIU	2026-07-21T08:03:56
naive	key	16	ena	8.0	96	1.053	119.560	96	1	Node-FIU	2026-07-21T08:03:57
naive	key	16	gsa	5.0	96	1.053	95.887	95	1	Node-FIU	2026-07-21T08:03:57
naive	key	16	ncbi	10.0	96	1.053	112.624	96	1	Node-FIU	2026-07-21T08:03:57
