arm	rep	workers	throughput	efficiency
adaptive	rep1	1	135.531	1.000
adaptive	rep1	2	41.454	0.153
adaptive	rep2	1	65.924	1.000
adaptive	rep2	2	257.342	1.952
adaptive	rep2	3	69.736	0.353
adaptive	rep1	1	63.900	1.000
adaptive	rep1	2	170.477	1.334
adaptive	rep1	3	139.292	0.727
adaptive	rep1	4	110.811	0.434
adaptive	rep2	1	107.608	1.000
adaptive	rep2	2	130.948	0.608
eff-0.7	rep1	1	88.296	1.000
eff-0.7	rep1	2	168.869	0.956
eff-0.7	rep1	3	368.135	1.390
eff-0.7	rep1	4	243.358	0.689
eff-0.9	rep1	1	86.189	1.000
eff-0.9	rep1	2	138.100	0.801
eff-0.5	rep2	1	0.000	1.000
eff-0.5	rep2	2	164.934	1.000
eff-0.5	rep2	3	74.974	0.303
eff-0.7	rep2	1	85.300	1.000
eff-0.7	rep2	2	57.588	0.338
eff-0.9	rep2	1	108.576	1.000
eff-0.9	rep2	2	0.000	0.000
