subexp	tool	file_bytes	kill_frac	offset_at_kill	resume_start_bytes	bytes_wasted	resumed	final_md5_ok	wall_resume_s	verdict	kill_status	rep	host	stamp
E7b	adaptiseq	404110842	0.25	105047689	105047689	0	1	1	19.9	RESUMED	killed	1	Node-FIU	2026-07-21T04:14:09
E7b	iseq	404110842	0.25	101446816	101446816	0	1	1	62.8	RESUMED	killed	1	Node-FIU	2026-07-21T04:15:27
E7b	adaptiseq	404110842	0.50	202271689	202271689	0	1	1	13.5	RESUMED	killed	1	Node-FIU	2026-07-21T04:16:05
E7b	iseq	404110842	0.50	204558000	204558000	0	1	1	21.4	RESUMED	killed	1	Node-FIU	2026-07-21T04:16:38
E7b	adaptiseq	404110842	0.75	303743689	303743689	0	1	1	39.1	RESUMED	killed	1	Node-FIU	2026-07-21T04:17:31
E7b	iseq	404110842	0.75	303158136	303158136	0	1	1	20.5	RESUMED	killed	1	Node-FIU	2026-07-21T04:18:33
E7b	adaptiseq	404110842	0.25	103111689	103111689	0	1	1	46.8	RESUMED	killed	2	Node-FIU	2026-07-21T04:19:28
E7b	iseq	404110842	0.25	102217928	102217928	0	1	1	29.3	RESUMED	killed	2	Node-FIU	2026-07-21T04:20:09
E7b	adaptiseq	404110842	0.50	203227136	203227136	0	1	1	36.0	RESUMED	killed	2	Node-FIU	2026-07-21T04:21:44
E7b	iseq	404110842	0.50	203142608	203142608	0	1	1	13.9	RESUMED	killed	2	Node-FIU	2026-07-21T04:22:22
E7b	adaptiseq	404110842	0.75	303103689	303103689	0	1	1	54.5	RESUMED	killed	2	Node-FIU	2026-07-21T04:24:12
E7b	iseq	404110842	0.75	303131248	303131248	0	1	1	15.1	RESUMED	killed	2	Node-FIU	2026-07-21T04:24:52
